ID,IDF
52060628,F0200040
52060582,F0200044
52060611,F0200015
52060614,F0200090
52060591,F0200075
52060619,F0200010
52060622,F0200038
52060641,F0200021
52060594,F0200009
52060595,F0200043
52060584,F0200011
52060596,F0200031
52060607,F0200016
52060593,F0200056
52060597,F0200008
52060600,F0200060
52060616,F0200014
52060569,F0200055
52060589,F0200018
52060637,F0200059
52060604,F0200017
52060577,F0200045
52060571,F0200012
52060573,F0200054
52060648,F0200013
52060620,F0200046
52060575,F0200029
52060632,F0200024
52060592,F0200052
52060624,F0200083
